episode,steps
0,11
1,13
2,15
3,14
4,13
5,12
6,11
7,14
8,14
9,14
10,13
11,12
12,13
13,12
14,14
15,12
16,13
17,16
18,13
19,12
20,13
21,13
22,13
23,12
24,14
25,13
26,13
27,12
28,12
29,13
30,13
31,15
32,13
33,12
34,13
35,13
36,12
37,12
38,12
39,12
40,13
41,12
42,12
43,12
44,14
45,13
46,11
47,14
48,14
49,14
50,12
51,12
52,11
53,12
54,12
55,13
56,14
57,15
58,15
59,13
60,13
61,14
62,14
63,13
64,12
65,13
66,14
67,13
68,12
69,12
70,12
71,12
72,13
73,12
74,12
75,14
76,13
77,13
78,13
79,14
80,15
81,12
82,13
83,13
84,12
85,14
86,12
87,12
88,13
89,12
90,12
91,14
92,12
93,13
94,16
95,13
96,14
97,15
98,12
99,13
100,14
101,13
102,14
103,13
104,13
105,15
106,12
107,13
108,11
109,13
110,13
111,15
112,14
113,12
114,12
115,12
116,12
117,13
118,14
119,12
120,14
121,14
122,12
123,15
124,11
125,13
126,12
127,14
128,12
129,13
130,14
131,12
132,12
133,13
134,12
135,12
136,16
137,13
138,13
139,13
140,12
141,12
142,12
143,12
144,12
145,13
146,12
147,13
148,15
149,11
150,13
151,13
152,13
153,13
154,13
155,12
156,13
157,13
158,12
159,12
160,14
161,13
162,13
163,12
164,13
165,12
166,13
167,13
168,13
169,14
170,14
171,13
172,13
173,15
174,12
175,13
176,16
177,13
178,12
179,13
180,11
181,11
182,11
183,11
184,13
185,13
186,12
187,16
188,13
189,15
190,11
191,13
192,12
193,13
194,13
195,12
196,15
197,13
198,13
199,13
200,11
201,13
202,14
203,13
204,13
205,12
206,12
207,11
208,12
209,13
210,12
211,13
212,12
213,15
214,12
215,13
216,14
217,12
218,13
219,13
220,15
221,13
222,12
223,12
224,12
225,12
226,11
227,15
228,13
229,12
230,13
231,12
232,14
233,13
234,16
235,14
236,12
237,12
238,12
239,12
240,11
241,13
242,13
243,13
244,13
245,12
246,13
247,15
248,13
249,12
250,13
251,13
252,12
253,11
254,14
255,13
256,12
257,13
258,13
259,13
260,13
261,13
262,14
263,14
264,12
265,14
266,12
267,11
268,14
269,13
270,13
271,12
272,13
273,13
274,13
275,12
276,12
277,14
278,12
279,12
280,13
281,14
282,13
283,14
284,12
285,13
286,16
287,12
288,12
289,13
290,14
291,15
292,14
293,13
294,13
295,13
296,14
297,13
298,12
299,12
300,13
301,12
302,13
303,12
304,12
305,12
306,12
307,12
308,13
309,16
310,12
311,12
312,11
313,13
314,12
315,11
316,12
317,12
318,13
319,12
320,14
321,13
322,11
323,13
324,11
325,13
326,13
327,13
328,15
329,13
330,13
331,15
332,15
333,13
334,13
335,14
336,14
337,14
338,13
339,12
340,12
341,14
342,15
343,12
344,13
345,12
346,13
347,15
348,13
349,13
350,15
351,12
352,17
353,13
354,14
355,13
356,12
357,15
358,14
359,13
360,14
361,13
362,13
363,12
364,14
365,13
366,11
367,13
368,13
369,12
370,14
371,12
372,14
373,13
374,14
375,13
376,11
377,13
378,12
379,12
380,13
381,12
382,14
383,11
384,13
385,12
386,13
387,14
388,12
389,12
390,13
391,17
392,13
393,12
394,13
395,13
396,13
397,15
398,12
399,13
400,13
401,13
402,15
403,14
404,14
405,12
406,11
407,13
408,12
409,12
410,11
411,13
412,13
413,13
414,13
415,12
416,12
417,13
418,12
419,13
420,14
421,13
422,13
423,13
424,16
425,11
426,12
427,14
428,13
429,14
430,13
431,14
432,15
433,14
434,15
435,13
436,13
437,14
438,15
439,13
440,13
441,14
442,12
443,12
444,12
445,12
446,13
447,16
448,12
449,12
450,13
451,13
452,15
453,14
454,16
455,12
456,14
457,14
458,15
459,11
460,13
461,14
462,13
463,14
464,12
465,13
466,14
467,12
468,14
469,13
470,16
471,12
472,12
473,12
474,12
475,14
476,13
477,11
478,13
479,13
480,12
481,13
482,12
483,12
484,12
485,13
486,14
487,14
488,13
489,15
490,14
491,13
492,15
493,15
494,12
495,13
496,12
497,13
498,13
499,12
500,12
501,12
502,14
503,14
504,13
505,12
506,12
507,12
508,11
509,12
510,13
511,14
512,11
513,12
514,12
515,12
516,13
517,12
518,12
519,12
520,15
521,14
522,13
523,12
524,12
525,12
526,14
527,15
528,13
529,14
530,13
531,13
532,13
533,12
534,14
535,31
536,13
537,14
538,13
539,15
540,13
541,13
542,15
543,13
544,13
545,12
546,13
547,14
548,12
549,14
550,15
551,12
552,13
553,13
554,13
555,13
556,14
557,13
558,17
559,12
560,12
561,13
562,14
563,12
564,12
565,11
566,13
567,12
568,14
569,12
570,12
571,13
572,15
573,16
574,12
575,13
576,15
577,13
578,11
579,13
580,14
581,14
582,13
583,13
584,11
585,11
586,12
587,13
588,13
589,11
590,12
591,13
592,13
593,12
594,12
595,14
596,13
597,13
598,13
599,14
600,13
601,14
602,14
603,13
604,13
605,13
606,12
607,15
608,13
609,12
610,14
611,18
612,13
613,14
614,14
615,11
616,14
617,14
618,14
619,12
620,13
621,12
622,13
623,13
624,14
625,12
626,12
627,14
628,13
629,15
630,12
631,12
632,13
633,11
634,11
635,11
636,16
637,16
638,12
639,13
640,12
641,13
642,14
643,12
644,11
645,13
646,11
647,14
648,12
649,14
650,14
651,14
652,13
653,13
654,13
655,11
656,15
657,12
658,13
659,14
660,13
661,14
662,13
663,12
664,13
665,12
666,13
667,14
668,13
669,14
670,15
671,13
672,13
673,14
674,14
675,14
676,13
677,12
678,13
679,13
680,13
681,13
682,13
683,12
684,13
685,13
686,12
687,15
688,14
689,13
690,13
691,12
692,12
693,13
694,14
695,13
696,15
697,13
698,13
699,11
700,12
701,13
702,12
703,13
704,12
705,11
706,12
707,14
708,13
709,13
710,12
711,12
712,13
713,13
714,11
715,12
716,12
717,11
718,14
719,13
720,11
721,14
722,15
723,12
724,12
725,11
726,13
727,12
728,12
729,13
730,12
731,14
732,12
733,12
734,12
735,12
736,13
737,13
738,13
739,11
740,12
741,12
742,14
743,12
744,13
745,14
746,11
747,13
748,13
749,11
750,15
751,15
752,13
753,12
754,17
755,12
756,13
757,12
758,12
759,13
760,13
761,12
762,11
763,12
764,14
765,15
766,12
767,12
768,13
769,13
770,12
771,14
772,13
773,13
774,12
775,13
776,13
777,15
778,11
779,12
780,13
781,13
782,14
783,13
784,13
785,12
786,12
787,13
788,14
789,12
790,16
791,13
792,15
793,14
794,11
795,15
796,12
797,14
798,12
799,13
800,13
801,11
802,13
803,12
804,13
805,14
806,13
807,14
808,14
809,14
810,13
811,11
812,17
813,14
814,14
815,13
816,13
817,12
818,14
819,13
820,13
821,12
822,13
823,13
824,13
825,13
826,13
827,13
828,12
829,12
830,12
831,12
832,12
833,11
834,12
835,13
836,12
837,12
838,13
839,14
840,12
841,13
842,13
843,13
844,14
845,12
846,13
847,13
848,14
849,13
850,13
851,13
852,11
853,12
854,14
855,13
856,14
857,13
858,11
859,14
860,13
861,13
862,14
863,12
864,12
865,12
866,13
867,13
868,14
869,12
870,12
871,12
872,12
873,11
874,13
875,13
876,15
877,11
878,12
879,11
880,13
881,13
882,12
883,12
884,13
885,13
886,13
887,12
888,12
889,12
890,13
891,13
892,11
893,12
894,13
895,14
896,13
897,12
898,12
899,13
900,13
901,14
902,14
903,16
904,12
905,13
906,12
907,12
908,11
909,13
910,12
911,13
912,12
913,12
914,12
915,15
916,14
917,14
918,12
919,13
920,13
921,15
922,14
923,13
924,13
925,12
926,13
927,12
928,13
929,13
930,11
931,13
932,14
933,12
934,13
935,13
936,13
937,15
938,13
939,12
940,11
941,15
942,12
943,14
944,14
945,13
946,12
947,14
948,12
949,12
950,13
951,15
952,13
953,15
954,12
955,13
956,13
957,14
958,13
959,13
960,13
961,12
962,12
963,12
964,14
965,13
966,11
967,13
968,13
969,11
970,12
971,13
972,14
973,11
974,13
975,13
976,11
977,14
978,14
979,13
980,13
981,12
982,14
983,13
984,12
985,12
986,14
987,11
988,17
989,11
990,12
991,13
992,13
993,14
994,13
995,14
996,13
997,12
998,13
999,11