"Step","base policy - steps_to_solve","base policy - steps_to_solve__MIN","base policy - steps_to_solve__MAX","Approx Sig Sequential - steps_to_solve","Approx Sig Sequential - steps_to_solve__MIN","Approx Sig Sequential - steps_to_solve__MAX","Rand Sig Sequential - steps_to_solve","Rand Sig Sequential - steps_to_solve__MIN","Rand Sig Sequential - steps_to_solve__MAX","Sequential - steps_to_solve","Sequential - steps_to_solve__MIN","Sequential - steps_to_solve__MAX"
"0","12","12","12","7","7","7","7","7","7","5","5","5"
"1","6","6","6","5","5","5","6","6","6","4","4","4"
"2","5","5","5","4","4","4","5","5","5","4","4","4"
"3","47","47","47","24","24","24","15","15","15","10","10","10"
"4","12","12","12","10","10","10","8","8","8","7","7","7"
"5","6","6","6","13","13","13","22","22","22","18","18","18"
"6","15","15","15","15","15","15","14","14","14","14","14","14"
"7","11","11","11","25","25","25","11","11","11","10","10","10"
"8","12","12","12","5","5","5","4","4","4","2","2","2"
"9","10","10","10","17","17","17","16","16","16","6","6","6"
"10","20","20","20","6","6","6","7","7","7","7","7","7"
"11","13","13","13","8","8","8","21","21","21","10","10","10"
"12","10","10","10","20","20","20","10","10","10","18","18","18"
"13","12","12","12","13","13","13","17","17","17","9","9","9"
"14","19","19","19","7","7","7","9","9","9","9","9","9"
"15","8","8","8","22","22","22","31","31","31","34","34","34"
"16","16","16","16","12","12","12","13","13","13","4","4","4"
"17","50","50","50","9","9","9","6","6","6","5","5","5"
"18","11","11","11","13","13","13","12","12","12","8","8","8"
"19","9","9","9","6","6","6","24","24","24","10","10","10"
"20","4","4","4","12","12","12","24","24","24","28","28","28"
"21","24","24","24","10","10","10","8","8","8","5","5","5"
"22","16","16","16","7","7","7","9","9","9","9","9","9"
"23","14","14","14","10","10","10","12","12","12","16","16","16"
"24","13","13","13","29","29","29","18","18","18","14","14","14"
"25","10","10","10","14","14","14","20","20","20","15","15","15"
"26","17","17","17","9","9","9","15","15","15","14","14","14"
"27","13","13","13","7","7","7","7","7","7","8","8","8"
"28","12","12","12","14","14","14","18","18","18","17","17","17"
"29","71","71","71","8","8","8","7","7","7","12","12","12"
"30","5","5","5","16","16","16","14","14","14","14","14","14"
"31","59","59","59","4","4","4","4","4","4","4","4","4"
"32","4","4","4","25","25","25","26","26","26","11","11","11"
"33","15","15","15","16","16","16","30","30","30","15","15","15"
"34","7","7","7","3","3","3","3","3","3","3","3","3"
"35","28","28","28","7","7","7","21","21","21","3","3","3"
"36","38","38","38","4","4","4","9","9","9","4","4","4"
"37","10","10","10","6","6","6","5","5","5","8","8","8"
"38","9","9","9","19","19","19","10","10","10","10","10","10"
"39","8","8","8","10","10","10","9","9","9","4","4","4"
"40","18","18","18","9","9","9","10","10","10","16","16","16"
"41","15","15","15","13","13","13","13","13","13","20","20","20"
"42","11","11","11","16","16","16","11","11","11","11","11","11"
"43","8","8","8","9","9","9","10","10","10","12","12","12"
"44","16","16","16","6","6","6","16","16","16","10","10","10"
"45","11","11","11","3","3","3","3","3","3","3","3","3"
"46","16","16","16","13","13","13","24","24","24","13","13","13"
"47","15","15","15","17","17","17","21","21","21","44","44","44"
"48","13","13","13","18","18","18","12","12","12","14","14","14"
"49","31","31","31","14","14","14","19","19","19","12","12","12"
"50","14","14","14","16","16","16","10","10","10","13","13","13"
"51","18","18","18","17","17","17","7","7","7","13","13","13"
"52","60","60","60","5","5","5","6","6","6","8","8","8"
"53","25","25","25","7","7","7","7","7","7","4","4","4"
"54","56","56","56","7","7","7","4","4","4","8","8","8"
"55","2","2","2","13","13","13","13","13","13","12","12","12"
"56","7","7","7","5","5","5","4","4","4","14","14","14"
"57","8","8","8","56","56","56","13","13","13","25","25","25"
"58","28","28","28","10","10","10","24","24","24","8","8","8"
"59","29","29","29","5","5","5","13","13","13","6","6","6"
"60","24","24","24","11","11","11","9","9","9","8","8","8"
"61","3","3","3","9","9","9","10","10","10","9","9","9"
"62","13","13","13","26","26","26","35","35","35","17","17","17"
"63","27","27","27","6","6","6","8","8","8","9","9","9"
"64","13","13","13","12","12","12","11","11","11","13","13","13"
"65","43","43","43","9","9","9","6","6","6","11","11","11"
"66","33","33","33","16","16","16","28","28","28","27","27","27"
"67","6","6","6","4","4","4","7","7","7","5","5","5"
"68","43","43","43","19","19","19","8","8","8","18","18","18"
"69","6","6","6","3","3","3","12","12","12","3","3","3"
"70","10","10","10","3","3","3","5","5","5","6","6","6"
"71","17","17","17","12","12","12","18","18","18","14","14","14"
"72","7","7","7","13","13","13","20","20","20","9","9","9"
"73","18","18","18","29","29","29","32","32","32","18","18","18"
"74","26","26","26","9","9","9","12","12","12","10","10","10"
"75","7","7","7","8","8","8","13","13","13","15","15","15"
"76","10","10","10","12","12","12","11","11","11","11","11","11"
"77","9","9","9","31","31","31","28","28","28","22","22","22"
"78","7","7","7","9","9","9","4","4","4","4","4","4"
"79","15","15","15","8","8","8","25","25","25","11","11","11"
"80","16","16","16","15","15","15","19","19","19","5","5","5"
"81","12","12","12","21","21","21","34","34","34","21","21","21"
"82","48","48","48","15","15","15","15","15","15","15","15","15"
"83","13","13","13","8","8","8","9","9","9","8","8","8"
"84","33","33","33","26","26","26","10","10","10","13","13","13"
"85","22","22","22","4","4","4","6","6","6","4","4","4"
"86","41","41","41","28","28","28","8","8","8","8","8","8"
"87","13","13","13","27","27","27","29","29","29","19","19","19"
"88","11","11","11","7","7","7","7","7","7","6","6","6"
"89","16","16","16","12","12","12","18","18","18","18","18","18"
"90","4","4","4","10","10","10","16","16","16","15","15","15"
"91","15","15","15","20","20","20","14","14","14","11","11","11"
"92","11","11","11","9","9","9","8","8","8","8","8","8"
"93","10","10","10","16","16","16","15","15","15","7","7","7"
"94","8","8","8","6","6","6","17","17","17","5","5","5"
"95","8","8","8","12","12","12","22","22","22","22","22","22"
"96","6","6","6","18","18","18","20","20","20","16","16","16"
"97","11","11","11","7","7","7","8","8","8","7","7","7"
"98","9","9","9","16","16","16","15","15","15","21","21","21"
"99","6","6","6","14","14","14","13","13","13","6","6","6"
"100","39","39","39","15","15","15","12","12","12","5","5","5"
"101","9","9","9","14","14","14","12","12","12","9","9","9"
"102","7","7","7","5","5","5","12","12","12","7","7","7"
"103","15","15","15","15","15","15","20","20","20","15","15","15"
"104","9","9","9","3","3","3","5","5","5","6","6","6"
"105","19","19","19","8","8","8","8","8","8","8","8","8"
"106","51","51","51","4","4","4","9","9","9","4","4","4"
"107","47","47","47","8","8","8","12","12","12","7","7","7"
"108","12","12","12","5","5","5","5","5","5","8","8","8"
"109","23","23","23","6","6","6","15","15","15","10","10","10"
"110","9","9","9","12","12","12","23","23","23","21","21","21"
"111","17","17","17","21","21","21","10","10","10","10","10","10"
"112","11","11","11","5","5","5","3","3","3","3","3","3"
"113","10","10","10","13","13","13","27","27","27","10","10","10"
"114","20","20","20","27","27","27","8","8","8","10","10","10"
"115","18","18","18","21","21","21","29","29","29","13","13","13"
"116","20","20","20","19","19","19","7","7","7","8","8","8"
"117","5","5","5","7","7","7","7","7","7","14","14","14"
"118","20","20","20","14","14","14","10","10","10","14","14","14"
"119","14","14","14","3","3","3","11","11","11","4","4","4"
"120","54","54","54","6","6","6","5","5","5","5","5","5"
"121","15","15","15","6","6","6","6","6","6","9","9","9"
"122","4","4","4","11","11","11","15","15","15","13","13","13"
"123","16","16","16","14","14","14","16","16","16","21","21","21"
"124","11","11","11","20","20","20","20","20","20","13","13","13"
"125","17","17","17","9","9","9","10","10","10","11","11","11"
"126","24","24","24","13","13","13","24","24","24","12","12","12"
"127","13","13","13","11","11","11","18","18","18","11","11","11"
"128","4","4","4","9","9","9","34","34","34","19","19","19"
"129","17","17","17","7","7","7","9","9","9","7","7","7"
"130","23","23","23","12","12","12","12","12","12","16","16","16"
"131","21","21","21","9","9","9","26","26","26","16","16","16"
"132","12","12","12","16","16","16","18","18","18","14","14","14"
"133","17","17","17","10","10","10","13","13","13","13","13","13"
"134","6","6","6","7","7","7","18","18","18","8","8","8"
"135","50","50","50","10","10","10","13","13","13","16","16","16"
"136","16","16","16","21","21","21","11","11","11","7","7","7"
"137","3","3","3","10","10","10","11","11","11","17","17","17"
"138","33","33","33","7","7","7","7","7","7","6","6","6"
"139","14","14","14","9","9","9","6","6","6","4","4","4"
"140","16","16","16","6","6","6","14","14","14","7","7","7"
"141","6","6","6","24","24","24","14","14","14","10","10","10"
"142","14","14","14","25","25","25","36","36","36","12","12","12"
"143","14","14","14","14","14","14","12","12","12","17","17","17"
"144","20","20","20","9","9","9","5","5","5","8","8","8"
"145","8","8","8","7","7","7","5","5","5","13","13","13"
"146","12","12","12","4","4","4","7","7","7","3","3","3"
"147","21","21","21","5","5","5","5","5","5","6","6","6"
"148","15","15","15","18","18","18","8","8","8","9","9","9"
"149","17","17","17","2","2","2","2","2","2","2","2","2"
"150","22","22","22","15","15","15","16","16","16","12","12","12"
"151","9","9","9","10","10","10","12","12","12","9","9","9"
"152","5","5","5","12","12","12","6","6","6","6","6","6"
"153","10","10","10","13","13","13","9","9","9","17","17","17"
"154","13","13","13","10","10","10","6","6","6","7","7","7"
"155","14","14","14","30","30","30","26","26","26","15","15","15"
"156","30","30","30","42","42","42","29","29","29","11","11","11"
"157","15","15","15","4","4","4","4","4","4","4","4","4"
"158","7","7","7","16","16","16","13","13","13","8","8","8"
"159","47","47","47","13","13","13","12","12","12","13","13","13"
"160","4","4","4","10","10","10","12","12","12","10","10","10"
"161","6","6","6","16","16","16","25","25","25","13","13","13"
"162","10","10","10","17","17","17","12","12","12","19","19","19"
"163","23","23","23","12","12","12","26","26","26","11","11","11"
"164","20","20","20","7","7","7","7","7","7","4","4","4"
"165","23","23","23","8","8","8","13","13","13","13","13","13"
"166","13","13","13","26","26","26","16","16","16","9","9","9"
"167","24","24","24","19","19","19","12","12","12","14","14","14"
"168","8","8","8","8","8","8","6","6","6","15","15","15"
"169","10","10","10","3","3","3","2","2","2","3","3","3"
"170","14","14","14","11","11","11","16","16","16","12","12","12"
"171","25","25","25","23","23","23","9","9","9","17","17","17"
"172","10","10","10","16","16","16","14","14","14","16","16","16"
"173","5","5","5","6","6","6","16","16","16","4","4","4"
"174","23","23","23","20","20","20","12","12","12","8","8","8"
"175","9","9","9","9","9","9","40","40","40","15","15","15"
"176","23","23","23","13","13","13","10","10","10","9","9","9"
"177","8","8","8","5","5","5","7","7","7","6","6","6"
"178","15","15","15","16","16","16","11","11","11","13","13","13"
"179","14","14","14","19","19","19","11","11","11","11","11","11"
"180","16","16","16","11","11","11","15","15","15","22","22","22"
"181","18","18","18","8","8","8","9","9","9","5","5","5"
"182","6","6","6","6","6","6","7","7","7","6","6","6"
"183","16","16","16","8","8","8","20","20","20","8","8","8"
"184","18","18","18","24","24","24","31","31","31","28","28","28"
"185","9","9","9","19","19","19","19","19","19","15","15","15"
"186","18","18","18","20","20","20","32","32","32","21","21","21"
"187","43","43","43","6","6","6","9","9","9","16","16","16"
"188","67","67","67","7","7","7","9","9","9","6","6","6"
"189","5","5","5","10","10","10","9","9","9","8","8","8"
"190","19","19","19","7","7","7","9","9","9","10","10","10"
"191","128","128","128","6","6","6","16","16","16","17","17","17"
"192","18","18","18","6","6","6","10","10","10","9","9","9"
"193","23","23","23","9","9","9","17","17","17","9","9","9"
"194","24","24","24","25","25","25","16","16","16","7","7","7"
"195","10","10","10","17","17","17","23","23","23","18","18","18"
"196","38","38","38","13","13","13","11","11","11","17","17","17"
"197","15","15","15","15","15","15","13","13","13","8","8","8"
"198","7","7","7","16","16","16","14","14","14","18","18","18"
"199","5","5","5","13","13","13","13","13","13","11","11","11"
"200","17","17","17","4","4","4","16","16","16","3","3","3"
"201","60","60","60","21","21","21","15","15","15","16","16","16"
"202","7","7","7","18","18","18","19","19","19","14","14","14"
"203","17","17","17","7","7","7","6","6","6","6","6","6"
"204","32","32","32","15","15","15","15","15","15","15","15","15"
"205","9","9","9","10","10","10","9","9","9","10","10","10"
"206","23","23","23","22","22","22","16","16","16","8","8","8"
"207","6","6","6","14","14","14","14","14","14","15","15","15"
"208","11","11","11","6","6","6","29","29","29","9","9","9"
"209","11","11","11","14","14","14","30","30","30","19","19","19"
"210","53","53","53","5","5","5","6","6","6","10","10","10"
"211","11","11","11","10","10","10","7","7","7","7","7","7"
"212","37","37","37","8","8","8","6","6","6","9","9","9"
"213","21","21","21","6","6","6","6","6","6","14","14","14"
"214","15","15","15","27","27","27","17","17","17","18","18","18"
"215","12","12","12","12","12","12","4","4","4","9","9","9"
"216","7","7","7","8","8","8","13","13","13","7","7","7"
"217","18","18","18","10","10","10","22","22","22","8","8","8"
"218","15","15","15","5","5","5","9","9","9","12","12","12"
"219","6","6","6","24","24","24","11","11","11","24","24","24"
"220","16","16","16","12","12","12","8","8","8","7","7","7"
"221","42","42","42","27","27","27","17","17","17","7","7","7"
"222","110","110","110","31","31","31","25","25","25","21","21","21"
"223","13","13","13","11","11","11","13","13","13","8","8","8"
"224","77","77","77","10","10","10","12","12","12","11","11","11"
"225","8","8","8","20","20","20","18","18","18","12","12","12"
"226","11","11","11","8","8","8","12","12","12","9","9","9"
"227","13","13","13","36","36","36","25","25","25","9","9","9"
"228","6","6","6","2","2","2","2","2","2","2","2","2"
"229","7","7","7","8","8","8","19","19","19","7","7","7"
"230","12","12","12","8","8","8","8","8","8","9","9","9"
"231","14","14","14","14","14","14","6","6","6","4","4","4"
"232","5","5","5","11","11","11","15","15","15","16","16","16"
"233","89","89","89","19","19","19","18","18","18","7","7","7"
"234","12","12","12","4","4","4","4","4","4","4","4","4"
"235","10","10","10","8","8","8","12","12","12","9","9","9"
"236","46","46","46","16","16","16","10","10","10","11","11","11"
"237","52","52","52","3","3","3","6","6","6","24","24","24"
"238","5","5","5","23","23","23","23","23","23","15","15","15"
"239","75","75","75","6","6","6","13","13","13","4","4","4"
"240","10","10","10","5","5","5","8","8","8","5","5","5"
"241","8","8","8","30","30","30","16","16","16","9","9","9"
"242","60","60","60","3","3","3","3","3","3","4","4","4"
"243","9","9","9","14","14","14","15","15","15","13","13","13"
"244","11","11","11","14","14","14","7","7","7","12","12","12"
"245","5","5","5","16","16","16","20","20","20","18","18","18"
"246","14","14","14","23","23","23","22","22","22","6","6","6"
"247","17","17","17","32","32","32","14","14","14","12","12","12"
"248","9","9","9","5","5","5","9","9","9","11","11","11"
"249","11","11","11","7","7","7","5","5","5","5","5","5"
"250","16","16","16","12","12","12","23","23","23","22","22","22"
"251","12","12","12","23","23","23","21","21","21","10","10","10"
"252","14","14","14","12","12","12","39","39","39","14","14","14"
"253","16","16","16","14","14","14","29","29","29","14","14","14"
"254","6","6","6","8","8","8","16","16","16","13","13","13"
"255","9","9","9","27","27","27","19","19","19","14","14","14"
"256","6","6","6","15","15","15","11","11","11","8","8","8"
"257","15","15","15","24","24","24","28","28","28","15","15","15"
"258","10","10","10","13","13","13","18","18","18","12","12","12"
"259","36","36","36","20","20","20","14","14","14","11","11","11"
"260","14","14","14","10","10","10","3","3","3","4","4","4"
"261","7","7","7","15","15","15","19","19","19","11","11","11"
"262","19","19","19","17","17","17","13","13","13","17","17","17"
"263","7","7","7","5","5","5","5","5","5","26","26","26"
"264","30","30","30","15","15","15","11","11","11","6","6","6"
"265","20","20","20","15","15","15","13","13","13","9","9","9"
"266","60","60","60","13","13","13","9","9","9","8","8","8"
"267","4","4","4","17","17","17","24","24","24","16","16","16"
"268","11","11","11","12","12","12","11","11","11","6","6","6"
"269","12","12","12","28","28","28","20","20","20","23","23","23"
"270","13","13","13","3","3","3","16","16","16","3","3","3"
"271","23","23","23","3","3","3","3","3","3","3","3","3"
"272","8","8","8","18","18","18","22","22","22","15","15","15"
"273","170","170","170","34","34","34","31","31","31","16","16","16"
"274","4","4","4","18","18","18","21","21","21","8","8","8"
"275","12","12","12","10","10","10","18","18","18","10","10","10"
"276","12","12","12","11","11","11","11","11","11","11","11","11"
"277","12","12","12","14","14","14","22","22","22","14","14","14"
"278","8","8","8","24","24","24","20","20","20","18","18","18"
"279","9","9","9","59","59","59","22","22","22","13","13","13"
"280","8","8","8","15","15","15","20","20","20","13","13","13"
"281","32","32","32","20","20","20","9","9","9","8","8","8"
"282","33","33","33","11","11","11","20","20","20","11","11","11"
"283","15","15","15","17","17","17","8","8","8","18","18","18"
"284","9","9","9","13","13","13","23","23","23","11","11","11"
"285","14","14","14","5","5","5","8","8","8","5","5","5"
"286","6","6","6","13","13","13","12","12","12","7","7","7"
"287","6","6","6","6","6","6","9","9","9","2","2","2"
"288","20","20","20","26","26","26","23","23","23","7","7","7"
"289","94","94","94","23","23","23","22","22","22","22","22","22"
"290","14","14","14","15","15","15","5","5","5","8","8","8"
"291","16","16","16","15","15","15","15","15","15","13","13","13"
"292","42","42","42","10","10","10","15","15","15","12","12","12"
"293","4","4","4","7","7","7","4","4","4","10","10","10"
"294","9","9","9","11","11","11","18","18","18","14","14","14"
"295","14","14","14","12","12","12","20","20","20","19","19","19"
"296","8","8","8","15","15","15","41","41","41","14","14","14"
"297","16","16","16","18","18","18","15","15","15","11","11","11"
"298","18","18","18","14","14","14","29","29","29","5","5","5"
"299","4","4","4","25","25","25","12","12","12","14","14","14"