alpha,training1,testing1,training2,testing2,training3,testing3
0.00005,85,32,87,33,86,34
0.0001,87,33,87,33,86,34
0.0005,87,34,87,32,86,34
0.001,87,33,87,33,79,35
0.002,86,34,80,33,64,37
0.003,80,31,67,36,58,39
0.004,73,33,65,34,55,40
0.005,66,35,58,38,57,37
0.006,67,34,55,38,53,40
0.007,65,32,55,38,53,41
0.008,60,36,55,38,52,40
0.009,61,34,55,38,52,40
0.01,58,38,53,39,51,42
0.02,52,40,51,37,51,38
0.03,51,40,50,41,50,39
0.04,51,40,49,38,50,40
0.05,50,37,50,39,50,41
0.06,49,39,50,39,50,37
0.07,49,38,47,37,50,37
0.08,45,28,40,33,48,36
0.09,43,32,40,32,38,28